algorithm,seed,F_0,F_1,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7
nsga2,42,-44.2206399272396,352.56272977704447,352.56272977704447,36.01527199298169,1.9631667421452268,128.49522325268916,28.263260917519556,849.8272009450814,927.8857043725386,28.0
nsga2,42,-44.22063992723694,352.5627297770021,352.5627297770021,36.01527199298169,1.9631667421452177,128.49522325268916,28.263260917519556,849.8272009451235,927.8857043725386,28.0
nsga2,42,-44.22063992723694,352.5627297770021,352.5627297770021,36.01527199298169,1.9631667421452286,128.49522325268916,28.263260917519556,849.8272009451236,927.8857043725386,28.0
nsga2,42,-44.2206399272396,352.56272977704447,352.56272977704447,36.01527199298169,1.9631667421452266,128.49522325268916,28.263260917519556,849.8272009450814,927.8857043725386,28.0
nsga2,42,-44.22063992723738,352.5627297770091,352.5627297770091,36.01527199298169,1.9631667421452261,128.49522325268916,28.263260917519556,849.8272009451167,927.8857043725386,28.0
nsga2,42,-44.22063992723861,352.5627297770287,352.5627297770287,36.01527199298169,1.9631667421452272,128.49522325268916,28.263260917519553,849.8272009450973,927.8857043725386,28.0
nsga2,42,-44.22063992723865,352.5627297770294,352.5627297770294,36.01527199298169,1.9631667421452281,128.49522325268916,28.263260917519556,849.8272009450961,927.8857043725386,28.0
nsga2,42,-44.22063992723733,352.5627297770083,352.5627297770083,36.01527199298169,1.9631667421452272,128.49522325268916,28.263260917519556,849.8272009451174,927.8857043725386,28.0
nsga2,42,-44.22063992723784,352.5627297770164,352.5627297770164,36.01527199298169,1.9631667421452257,128.49522325268916,28.263260917519556,849.8272009451096,927.8857043725386,28.0
nsga2,42,-44.220639927238025,352.56272977701934,352.56272977701934,36.01527199298169,1.9631667421452221,128.49522325268916,28.263260917519553,849.8272009451065,927.8857043725386,28.0
nsga2,42,-44.220639927237286,352.56272977700763,352.56272977700763,36.01527199298169,1.9631667421452161,128.49522325268916,28.263260917519553,849.8272009451182,927.8857043725386,28.0
